r,"C(r, t=50000.0)","C(r, t=100000.0)","C(r, t=150000.0)","C(r, t=200000.0)","C(r, t=250000.0)","C(r, t=300000.0)","C(r, t=350000.0)","C(r, t=400000.0)","C(r, t=450000.0)","C(r, t=500000.0)","C(r, t=550000.0)","C(r, t=600000.0)","C(r, t=650000.0)","C(r, t=700000.0)","C(r, t=750000.0)","C(r, t=800000.0)","C(r, t=850000.0)","C(r, t=900000.0)","C(r, t=950000.0)","C(r, t=1000000.0)"
0.13924050632911392,0.0,3.773768317176734e-56,1.7941954214155624e-54,4.340223960038321e-53,7.120596150766354e-52,8.910749408307759e-51,9.070218087385465e-50,7.820645353619599e-49,5.873727630158985e-48,3.92175200890759e-47,2.364166956293048e-46,1.3025761627505946e-45,6.624042031182753e-45,3.1343547267982754e-44,1.3893558650521739e-43,5.802402697929372e-43,2.294386032653673e-42,8.626607244282422e-42,3.095613208562327e-41,1.063683591030433e-40
0.14556962025316456,0.0,3.657508856200786e-55,1.7090552144474717e-53,4.064494125055619e-52,6.557619249431213e-51,8.072404179699793e-50,8.08508598888425e-49,6.861252992090541e-48,5.073184923124526e-47,3.3355064901235973e-46,1.980523789787223e-45,1.075047603808955e-44,5.38728226609259e-44,2.5125428959089585e-43,1.0979724064533547e-42,4.521574488463461e-42,1.7633602067360283e-41,6.540240818249074e-41,2.3156010399728578e-40,7.85190084018936e-40
0.1518987341772152,0.0,3.5482610199587583e-54,1.6290327941894883e-52,3.8076785146162027e-51,6.039652028920609e-50,7.311527749839591e-49,7.203653739748534e-48,6.015255574591533e-47,4.3775345706741206e-46,2.833486421674162e-45,1.6567564947213122e-44,8.857907971440452e-44,4.373212011835572e-43,2.009884703224217e-42,8.657104132441615e-42,3.5147015452065385e-41,1.3516017485363925e-40,4.944237358715719e-40,1.72684639033778e-39,5.777413196185384e-39
0.15822784810126583,0.0,3.445332190229303e-53,1.5536440607070632e-51,3.568038526620046e-50,5.562439738110075e-49,6.620300163121427e-48,6.414549916602157e-47,5.269080011527853e-46,3.773090781975259e-45,2.4037629690597485e-44,1.3837076208677552e-43,7.285189906721744e-43,3.542745725083908e-42,1.6041423777924283e-41,6.808890460886409e-41,2.7247137953567475e-40,1.033008755056929e-39,3.7262233520480475e-39,1.2835908247574354e-38,4.2363933936879303e-38
0.16455696202531644,0.0,3.34812355554044e-52,1.4824690733805625e-50,3.344059344817353e-49,5.1222596866743045e-48,5.991871229848352e-47,5.707837612117486e-46,4.610930876357912e-45,3.248053041878533e-44,2.036147585925364e-43,1.1536383325978513e-42,5.979796014492885e-42,2.8636150744771286e-41,1.2771811830238413e-40,5.341012203876585e-40,2.1062283800881214e-39,7.870871338805926e-39,2.7990852301585207e-38,9.508102762084977e-38,3.0950857048463487e-37
0.17088607594936708,0.0,3.256114287832229e-51,1.4151413436814974e-49,3.134413125564168e-48,4.715835404141524e-47,5.420207563530941e-46,5.074792050265315e-45,4.0305161990770663e-44,2.7922125095996907e-43,1.7219147917317225e-42,9.599949593288146e-42,4.897772414660628e-41,2.3091510965082604e-40,1.0142028551103927e-39,4.177691610346522e-39,1.6231608031515806e-38,5.977533350895438e-38,2.095344449146464e-37,7.017260054603045e-37,2.2525398620771018e-36
0.17721518987341772,0.0,3.168848871182575e-50,1.3513392474434987e-48,2.937929415550681e-47,4.3402674932183636e-46,4.899968978135849e-45,4.507720196436782e-44,3.518824195259765e-43,2.3967122942016493e-42,1.4535755962094326e-41,7.972184046629807e-41,4.0022968827543664e-40,1.8572979827184785e-39,8.031288689638031e-39,3.257895864699565e-38,1.2468344007747513e-37,4.5239578225576205e-37,1.5627921342564545e-36,5.158931070997923e-36,1.6326962882294687e-35
0.18354430379746836,0.0,3.08592686559389e-49,1.2907790765323088e-47,2.7535711705623772e-46,3.992977436113831e-45,4.426407712593893e-44,3.99981310363592e-43,3.0679398295302376e-42,2.0538500176891836e-41,1.2246908126806778e-40,6.605873970264721e-40,3.262498992390735e-39,1.4898098811436537e-38,6.341018180216703e-38,2.5324927692737877e-37,9.544790597086118e-37,3.411370620048434e-36,1.1610938425904903e-35,3.7773013803598096e-35,1.1783664066292982e-34
0.18987341772151897,0.0,3.0069945707916834e-48,1.2332093712842373e-46,2.580415156312176e-45,3.6716615522815744e-44,3.995285583325059e-43,3.545024038628075e-42,2.6708928549686144e-41,1.7569139161778927e-40,1.0297161124530878e-39,5.4608872916101156e-39,2.65248808124761e-38,1.1915935566387798e-37,4.990806384536038e-37,1.9619629974519593e-36,7.280358420254723e-36,2.5625273085203594e-35,8.591448712551826e-35,2.753869416355767e-34,8.466518603780895e-34
0.1962025316455696,0.0,2.931738186299122e-47,1.178406262819314e-45,2.417635809526381e-44,3.3742529861393367e-43,3.602805349224756e-42,3.1379671028440815e-41,2.3215309632400535e-40,1.5000457972346794e-39,8.638725772919659e-39,4.5030921772028446e-38,2.150548464876265e-37,9.501681943707715e-37,3.915109061362882e-36,1.5145550937203568e-35,5.532032536471079e-35,1.9171283290384e-34,6.330083198494727e-34,1.9987250956922243e-33,6.054587638671452e-33
0.20253164556962025,0.0,2.85987815998128e-46,1.126169618487443e-44,2.26449185494716e-43,3.098890101655999e-42,3.2455534418842566e-41,2.7738322902885313e-40,2.0144131468649038e-39,1.2781256957915915e-38,7.230379145824157e-38,3.703452880225164e-37,1.738470271584011e-36,7.552199255283406e-36,3.0605554711158454e-35,1.1647944677944134e-34,4.186752079072415e-34,1.4281989867767584e-33,4.643068886816026e-33,1.4438321347970117e-32,4.308465782559114e-32
0.2088607594936709,0.0,2.7911644881310555e-45,1.0763198311469555e-43,2.1203151349002813e-42,2.8438900299813726e-41,2.9204518580805434e-40,2.4483138367073276e-39,1.7447194665953753e-38,1.0866742078177658e-37,6.0365455218181215e-37,3.0372696922858356e-36,1.4009910044441585e-35,5.982334055163447e-35,2.3837441449876363e-34,8.922766356751623e-34,3.1553159102718554e-33,1.0592301078828592e-32,3.389686916072388e-32,1.0378565516926395e-31,3.050137002514826e-31
0.21518987341772153,0.0,2.72537278309159e-44,1.0286951284293918e-42,1.984501228505818e-41,2.6077263928502204e-40,2.6247174946626728e-39,2.157549399120734e-38,1.5081742379574284e-37,9.217693378768119e-37,5.026516253864438e-36,2.483537525993469e-35,1.1253280586385333e-34,4.721864009406482e-34,1.8494356576616567e-33,6.806895176750535e-33,2.3675064862660863e-32,7.819196686650962e-32,2.462496768862734e-31,7.421893231023333e-31,2.1476893688780346e-30
0.22151898734177214,0.0,2.6623009643157794e-43,9.831493049020096e-42,1.856501528588207e-40,2.3890104336510278e-39,2.355827571789197e-38,1.8980681242129355e-37,1.3009802748427824e-36,7.799753492109175e-36,4.173784757939997e-35,2.0244027675196434e-34,9.007863598035795e-34,3.712961375747795e-33,1.4290691389958998e-32,5.170208582279949e-32,1.7681883233163377e-31,5.743899349566207e-31,1.7797236262475445e-30,5.278915982035015e-30,1.5037369086726595e-29
0.22784810126582278,0.0,2.6017664591311262e-42,9.395498004198614e-41,1.7358165137061977e-39,2.1864749476974977e-38,2.1114900700634303e-37,1.6667460616270907e-36,1.1197623064236718e-35,6.582816065471578e-35,3.455477500557713e-34,1.644701993166842e-33,7.18428345378686e-33,2.9080833794608986e-32,1.0995436042199758e-31,3.9091560800513105e-31,1.3141874226057373e-30,4.197811982575841e-30,1.279337952600201e-29,3.7335250739811496e-29,1.0466678905598632e-28
0.23417721518987342,0.0,2.543603822786942e-41,8.977760636162474e-40,1.6219900060649352e-38,1.9989605261512095e-37,1.889618322651505e-36,1.460767685172679e-35,9.615180537400014e-35,5.540497907667364e-34,2.8518655071768147e-33,1.3315692311405373e-32,5.707959050005581e-32,2.268215864898562e-31,8.422164606881527e-31,2.9415500417316795e-30,9.717971679412596e-30,3.0514390611884077e-29,9.144587521621023e-29,2.6249703395662985e-28,7.240456643643169e-28
0.24050632911392406,0.0,2.487662705396576e-40,8.577181516060669e-39,1.514604247425269e-37,1.825403723439449e-36,1.688309070980337e-35,1.2775925238962717e-34,8.235757409600497e-34,4.6496816872062325e-33,2.3459437706317224e-32,1.0741008803861437e-31,4.5167578730207995e-31,1.761410137211321e-30,6.420804853063658e-30,2.202345398972443e-29,7.147870797033513e-29,2.2056722339863766e-28,6.497916306029662e-28,1.8341803484805424e-27,4.976463345800882e-27
0.24683544303797467,0.0,2.433806107449013e-39,8.192755264390807e-38,1.4132756574284431e-36,1.664826832618005e-35,1.505823423797165e-34,1.114926092400384e-33,7.035570432079261e-33,3.890118411822625e-32,1.9230681981164751e-31,8.630693276494238e-31,3.5590148659496205e-30,1.3615637080608973e-29,4.870876963911062e-29,1.6402235679376193e-28,5.228152727977159e-28,1.5849484922678712e-27,4.588750543839819e-27,1.2733484223869756e-26,3.397387241111159e-26
0.25316455696202533,0.0,2.3819088766063466e-38,7.82356016277287e-37,1.3176511641694043e-35,1.5163290118955372e-34,1.340570262849673e-33,9.706944578904951e-33,5.993446525067337e-32,3.2440808226082577e-31,1.5706415355769057e-30,6.906778470034806e-30,2.791858312846807e-29,1.0474043364098796e-28,3.675942681740405e-28,1.2148306986820084e-27,3.801649429754781e-27,1.1318902165672136e-26,3.2195697468977894e-26,8.780286056581589e-26,2.3030503781369093e-25
0.25949367088607594,0.0,2.33185640723326e-37,7.468749151556047e-36,1.2274050169834194e-34,1.3790785521411764e-33,1.1910917206243406e-32,8.430218992470059e-32,5.090537866275083e-31,2.6960603579521375e-30,1.277841153211309e-29,5.503506092014108e-29,2.179794721455804e-28,8.016437729054795e-28,2.7590525871339116e-27,8.945482997334401e-27,2.747407719783336e-26,8.031165390216485e-26,2.243622726977446e-25,6.011564599574562e-25,1.5497198088730011e-24
0.26582278481012656,0.0,2.2835435110503647e-36,7.127541998716449e-35,1.1422360074591997e-33,1.2523061123946925e-32,1.0560504212656163e-31,7.302112077563824e-31,4.310070805927175e-30,2.2325015676713322e-29,1.0353827432814944e-28,4.365526365197601e-28,1.693512625174193e-27,6.102733253039175e-27,2.0590167392100165e-26,6.54696866381374e-26,1.9727362338404235e-25,5.659791208754108e-25,1.5524158812708809e-24,4.085422267259817e-24,1.0347685023896242e-23
0.2721518987341772,0.0,2.2368734328630178e-35,6.799218463052058e-34,1.0618650375630691e-32,1.135298780268483e-31,9.34218228620935e-31,6.307262551382737e-30,3.637123934196983e-29,1.8415688502731599e-28,8.35314930961989e-28,3.446353618890177e-27,1.3088717207437675e-26,4.619780321155481e-26,1.5273544970353676e-25,4.760914430095319e-25,1.4069193598318932e-24,3.960261177521356e-24,1.0661578584086137e-23,2.754870344738379e-23,6.853513237598111e-23
0.27848101265822783,0.0,2.191756989793294e-34,6.483112304937909e-33,9.860329841413408e-32,1.0273948382547708e-30,8.24466288081647e-30,5.431765160945359e-29,3.0584313810598526e-28,1.5129411952718913e-27,6.708405759786067e-27,2.707041271702363e-26,1.0060491032851993e-25,3.4765007032062177e-25,1.1258043884958571e-24,3.438829311582477e-24,9.962630685723054e-24,2.750384919944016e-23,7.264897005025962e-23,1.8425297371423742e-22,4.500834633341839e-22
0.2848101265822785,0.0,2.148111816065952e-33,6.178606022418615e-32,9.144988174889541e-31,9.279791365418452e-30,7.257561836381355e-29,4.663032827927183e-28,2.562208044699522e-27,1.2376312756589658e-26,5.361611823921281e-26,2.1150451390610206e-25,7.688187817047355e-25,2.5998519270933213e-24,8.242954712507894e-24,2.4663108630945312e-23,7.002028147401706e-23,1.8951504411589145e-22,4.909764327326368e-22,1.2218009866773602e-21,2.929552110124224e-21
0.2911392405063291,0.0,2.1058616983473412e-32,5.885126210379841e-31,8.470379385377984e-30,8.364789889349517e-29,6.371320599762286e-28,3.989673498082423e-27,2.1379939506485047e-26,1.0078257822783338e-25,4.263413633256837e-25,1.6432486371092544e-24,5.839443327009414e-24,1.931486183168658e-23,5.992985897363993e-23,1.7556505649855067e-22,4.882564019179734e-22,1.295082360626677e-21,3.2895165694469144e-21,8.0291686420644e-21,1.8890531582632117e-20
0.2974683544303797,0.0,2.0649359890468016e-31,5.602139456880126e-30,7.834407048430294e-29,7.523605215963794e-28,5.577135827840029e-27,3.401379818971825e-26,1.7765153616235137e-25,8.167443448414703e-25,3.371907480334737e-24,1.269127326747669e-23,4.4066762029452346e-23,1.424989860406992e-22,4.324899455795054e-22,1.2399542459566867e-21,3.376473314597333e-21,8.773338081062125e-21,2.1839758232196128e-20,5.226646430753493e-20,1.2061875587889771e-19
