R,c (mol/m^3) @ t=0,c (mol/m^3) @ t=50000,c (mol/m^3) @ t=1E5,c (mol/m^3) @ t=1.5E5,c (mol/m^3) @ t=2E5,c (mol/m^3) @ t=2.5E5,c (mol/m^3) @ t=3E5,c (mol/m^3) @ t=3.5E5,c (mol/m^3) @ t=4E5,c (mol/m^3) @ t=4.5E5,c (mol/m^3) @ t=5E5,c (mol/m^3) @ t=5.5E5,c (mol/m^3) @ t=6E5,c (mol/m^3) @ t=6.5E5,c (mol/m^3) @ t=7E5,c (mol/m^3) @ t=7.5E5,c (mol/m^3) @ t=8E5,c (mol/m^3) @ t=8.5E5,c (mol/m^3) @ t=9E5,c (mol/m^3) @ t=9.5E5,c (mol/m^3) @ t=1E6
0.27044025157232704,-1.4166880198449068E-301,1.5132115936241512E-127,5.917877510589396E-89,5.883408735708882E-84,7.289684053024735E-62,2.870614424120843E-59,3.0150604758248613E-57,7.430645001563673E-44,7.224039083020313E-43,2.1747943370165561E-41,3.9076813522865235E-40,3.909307473285379E-39,1.9550526674402535E-38,2.0235454503044253E-37,1.2823554818021468E-33,4.980455138873127E-33,6.010538100050715E-32,1.9432926851755709E-31,1.295282005685452E-30,3.870355975539418E-30,1.9001467350813898E-29
0.27358490566037735,-2.403702001712346E-297,9.888887318157863E-126,1.1305666592011319E-87,1.0775308482989228E-82,5.846802862436688E-61,2.2607332659382333E-58,2.3240009591520243E-56,3.2617180316818123E-43,3.158101980911227E-42,9.392077972454355E-41,1.6617699206763097E-39,1.6405613620387274E-38,8.173558094924884E-38,8.332736186454456E-37,4.310276895297695E-33,1.6739597194674194E-32,1.9816823667709813E-31,6.394468321696744E-31,4.192408665100045E-30,1.2487935583317393E-29,6.041508462597006E-29
0.27672955974842767,-3.7210102121962333E-293,6.461495764626619E-124,2.159569168199266E-86,1.971999694503676E-81,4.6891185166988547E-60,1.7797039819959903E-57,1.7900992499651247E-55,1.4318420779060896E-42,1.3806822577669134E-41,4.05524199975889E-40,7.063670612595729E-39,6.880410839956947E-38,3.41465200045034E-37,3.428044711988874E-36,1.4488790909932205E-32,5.626608582907657E-32,6.5315922637735375E-31,2.1032925587881853E-30,1.356071346761064E-29,4.026270072274798E-29,1.9190769418544739E-28
0.279874213836478,-5.41856338389615E-289,4.2213680474306616E-122,4.124540705966851E-85,3.606196611134341E-80,3.760318937950998E-59,1.4004355729454848E-56,1.3778683120724873E-54,6.285965320404385E-42,6.036457632446098E-41,1.7505674663796106E-39,3.0011654722965447E-38,2.8837357385393545E-37,1.4254510152579631E-36,1.4088817648735459E-35,4.870672914115243E-32,1.8913539280119725E-31,2.152093618690032E-30,6.915355625381068E-30,4.3833770893413685E-29,1.2970987660364561E-28,6.089921639056177E-28
0.2830188679245283,-7.527865816152904E-285,2.757429598978453E-120,7.87622828795028E-84,6.589400818507695E-79,3.0152027933886042E-58,1.101509012260036E-55,1.0597829138958052E-53,2.7597920760209E-41,2.6393117880108586E-40,7.555150813044884E-39,1.2745040744846055E-37,1.2078284843675144E-36,5.9458794672673566E-36,5.784372082108725E-35,1.63747737156779E-31,6.358019525754493E-31,7.088472907934112E-30,2.272683463598248E-29,1.4158901900160104E-28,4.175280736666625E-28,1.930572416580177E-27
0.2861635220125786,-1.0041797705163351E-280,1.800873180130785E-118,1.503806008955515E-82,1.203052227431097E-77,2.4174881702003372E-57,8.65993982456835E-55,8.145036404150227E-53,1.2117350202732778E-40,1.154034241770642E-39,3.2599028150214274E-38,5.409732252716216E-37,5.055368967149727E-36,2.478133395305898E-35,2.3723303212963662E-34,5.505425788927013E-31,2.137431764497925E-30,2.3339179053517418E-29,7.465559991877923E-29,4.570157418339174E-28,1.3428409594026352E-27,6.1136061004119855E-27
0.2893081761006289,-1.288315372015726E-276,1.1759411957718171E-116,2.870731925529941E-81,2.1945861077050108E-76,1.9380533938367315E-56,6.805117120845455E-54,6.254950173478633E-52,5.320657210913523E-40,5.046212071463515E-39,1.4062359854563004E-37,2.2950103884351136E-36,2.1143983109390086E-35,1.0319632463482294E-34,9.718836140778644E-34,1.8511243829129026E-30,7.185917502587897E-30,7.681593388996497E-29,2.45117080547128E-28,1.4740060370005055E-27,4.314918661366579E-27,1.9338675836733807E-26
0.29245283018867924,-1.585689139193692E-272,7.677291209152421E-115,5.479199713054847E-80,3.9997916808547295E-75,1.5535247497489318E-55,5.344928558461107E-53,4.799506905113498E-51,2.3364078354208235E-39,2.2066348522257986E-38,6.064547193905002E-37,9.731024283319347E-36,8.836802439961424E-35,4.293587072288782E-34,3.977000087327717E-33,6.224568777372882E-30,2.4159600653658852E-29,2.527207366746728E-28,8.043786403275323E-28,4.750275063580621E-27,1.3851974763176093E-26,6.110178484034644E-26
0.29559748427672955,-1.8579139139184907E-268,5.011253445874464E-113,1.0455902554960593E-78,7.283249019461827E-74,1.2451426912979729E-54,4.195899320023423E-52,3.679577562666076E-50,1.0260233152405173E-38,9.64968206434108E-38,2.6146857556587022E-36,4.123706067777715E-35,3.6903313522925123E-34,1.784750937051334E-33,1.625475333124561E-32,2.0932056572070909E-29,8.122926985987311E-29,8.31083571746619E-28,2.6382168186079844E-27,1.5295851880161203E-26,4.442451370378314E-26,1.9282255372698985E-25
0.29874213836477986,-2.037338379866592E-264,3.2703671877253153E-111,1.9949036665308367E-77,1.32495705647844E-72,9.978516161473793E-54,3.2921221726381456E-51,2.8184729283780415E-49,4.505992582175403E-38,4.220000406153985E-37,1.1269784962611328E-35,1.746472868600853E-34,1.5398709413765133E-33,7.411742006737693E-33,6.635426946872349E-32,7.039528306474904E-29,2.731165448489861E-28,2.7318232717283115E-27,8.647883081843017E-27,4.92092894848851E-26,1.4232635667585876E-25,6.077378298346978E-25
0.30188679245283023,-2.012071721063351E-260,2.1338021161508984E-109,3.805347177962623E-76,2.4079776964136164E-71,7.995691273140307E-53,2.5815765118206124E-50,2.1568981500671966E-48,1.979009432653467E-37,1.845560789383201E-36,4.856020729290278E-35,7.392140574622553E-34,6.420047535110993E-33,3.074903568374617E-32,2.7052058887948477E-31,2.367578614183204E-28,9.183180576617199E-28,8.97539887563533E-27,2.8329827480208457E-26,1.58168913627354E-25,4.554892973398371E-25,1.912959233052422E-24
0.30503144654088055,-1.604627846835407E-256,1.3919214894552363E-107,7.257288507962877E-75,4.371813041379723E-70,6.4059939016555074E-52,2.0232157784651263E-49,1.649034839392849E-47,8.69218384133858E-37,8.071607255307405E-36,2.0917397879410404E-34,3.126810092629543E-33,2.6743154715815153E-32,1.2743641509646993E-31,1.1014198953837245E-30,7.963329696682972E-28,3.0877662365164144E-27,2.9473833047518654E-26,9.274643799690397E-26,5.078983440423937E-25,1.456057228046068E-24,6.0131401653757315E-24
0.30817610062893086,-5.4177032577351056E-253,9.077653748146183E-106,1.3837507071038522E-73,7.928898499576825E-69,5.131621756825479E-51,1.584663367733395E-48,1.2595001083362652E-46,3.8179751973399915E-36,3.530262027862751E-35,9.007206291154677E-34,1.321733173476211E-32,1.1129925589001014E-31,5.275793322967536E-31,4.478201890361083E-30,2.678642555502439E-27,1.0382401928834149E-26,9.673615847060264E-26,3.034261452289356E-25,1.6292732680762086E-24,4.649025749995653E-24,1.887456002804328E-23
0.3113207547169812,1.5877006798127564E-248,5.918693527890921E-104,2.637789407348791E-72,1.4364455601861648E-67,4.110147822594832E-50,1.2403903283296254E-47,9.609873632484459E-46,1.6771039864748024E-35,1.5440756453615785E-34,3.877221543448631E-33,5.58321702694843E-32,4.627655903248313E-31,2.181697282879847E-30,1.8181443105609836E-29,9.010834932687268E-27,3.4909906620972855E-26,3.1731981352827666E-25,9.9195788625351E-25,5.220968895851528E-24,1.482528280506786E-23,5.915676622854886E-23
0.3144654088050315,5.391588644989775E-244,3.858036412096299E-102,5.0270871369217835E-71,2.5993964954160924E-66,3.2914852515835167E-49,9.702744592652553E-47,7.324368996372287E-45,7.367312826505216E-35,6.7537408190765594E-34,1.6683666582521668E-32,2.356733104772767E-31,1.9222155920857582E-30,9.011412755977017E-30,7.370575409638585E-29,3.031419229714515E-26,1.1737928745874922E-25,1.0402734012603303E-24,3.240399875817331E-24,1.6711887540071306E-23,4.721436851150252E-23,1.851205389881758E-22
0.3176100628930818,1.1755199494090278E-239,2.5141410722809035E-100,9.578152604825644E-70,4.6983352719905166E-65,2.6354509262975564E-48,7.584612694167261E-46,5.576180349260839E-44,3.2365328394667883E-34,2.9541590880341943E-33,7.176201779599932E-32,9.940482176797824E-31,7.976226674867647E-30,3.717585149675529E-29,2.9832921225568534E-28,1.0199014595922974E-25,3.94656956603113E-25,3.408195497569399E-24,1.0576653792834909E-23,5.343093944712462E-23,1.501572804085363E-22,5.783571239381098E-22
0.3207547169811321,2.195224817141719E-235,1.6379105266954494E-98,1.8244456126977253E-68,8.481714800456189E-64,2.1098096573684034E-47,5.924638001463746E-45,4.240307736637803E-43,1.4219105649483656E-33,1.2922202386894108E-32,3.085470723397903E-31,4.1894867366717286E-30,3.306193935008908E-29,1.531705542007603E-28,1.2055436487144995E-27,3.431644106691194E-25,1.3268629331164914E-24,1.1158653100033168E-23,3.449211411207809E-23,1.7061887321084115E-22,4.76857391191269E-22,1.8038301376408177E-21
0.32389937106918243,3.779602734551517E-231,1.0667483821523735E-96,3.4742291066569686E-67,1.5292218481929978E-62,1.6887042552754212E-46,4.624514173614653E-44,3.2205545490738326E-42,6.247201038222333E-33,5.65264716636256E-32,1.3260586497992023E-30,1.7642283026441883E-29,1.3689090266662292E-28,6.3024761060199815E-28,4.863317355338757E-27,1.1547251806500692E-24,4.460685363786088E-24,3.650829901729167E-23,1.123799715468716E-22,5.441273379599402E-22,1.5120542104024627E-21,5.6158811777261325E-21
0.32704402515723274,6.184435224478708E-227,6.945425749373931E-95,6.613915075483728E-66,2.7534824228095347E-61,1.351395391255251E-45,3.606880662358551E-43,2.442947614273811E-41,2.744853780639644E-32,2.472745488921339E-31,5.6965096651458664E-30,7.422883720899121E-29,5.661285415267778E-28,2.5896579622535792E-27,1.958451031078065E-26,3.885866464166141E-24,1.4994641781366815E-23,1.1935614733668731E-22,3.6578791740103906E-22,1.7329401356788722E-21,4.786823817841061E-21,1.7451199344724118E-20
0.33018867924528306,9.767601999348474E-223,4.520581044714467E-93,1.2587090977394677E-64,4.9510312159248004E-60,1.0812501601912133E-44,2.8108871239315598E-42,1.8506487177731604E-40,1.2060715795418972E-31,1.0817295429764707E-30,2.4459602998689395E-29,3.120302495808499E-28,2.338445124602787E-27,1.0625293134350342E-26,7.872074796703157E-26,1.3077666627830007E-23,5.0398498791612275E-23,3.8989761430833447E-22,1.1893583044718546E-21,5.5111763650215125E-21,1.512832347203799E-20,5.4122475038585333E-20
0.33333333333333337,1.5026197441311409E-218,2.941313018006404E-91,2.3947069805131673E-63,8.889672420868075E-59,8.649302993182208E-44,2.1886921426211165E-41,1.4000218718529887E-39,5.299644116397722E-31,4.732266969595047E-30,1.0497198056194853E-28,1.3104124956240823E-27,9.646883441042823E-27,4.3528827605405614E-26,3.1581002535340232E-25,4.401552163845645E-23,1.6936830708008317E-22,1.2725838178899945E-21,3.862852852042669E-21,1.7500428024988514E-20,4.772619163553759E-20,1.675067213971024E-19
0.3364779874213837,6.881218147093214E-215,1.913063032597574E-89,4.5544157391343564E-62,1.593771545960756E-57,6.917406607792436E-43,1.70270031849371E-40,1.0575957021292882E-38,2.3288403283003173E-30,2.0702872629689887E-29,4.502658443208173E-28,5.4977692782361174E-27,3.974377311855993E-26,1.7804049811177645E-25,1.2643995136094475E-24,1.481543081431354E-22,5.690671047419294E-22,4.149805137449652E-21,1.2530900314827651E-20,5.548300635644185E-20,1.50280208888343E-19,5.173010447464384E-19
