R,c (mol/m^3)
0.1275430359937399,7.325344520858177
0.12832550860719844,7.329348723433806
0.12910798122065698,7.333377416545027
0.12989045383411552,7.337430600191881
0.13067292644757406,7.341508274374414
0.1314553990610326,7.345610439092597
0.13223787167449114,7.349737094346405
0.13302034428794968,7.3538882401359
0.13380281690140822,7.358063876461124
0.13458528951486676,7.362264003322052
0.1353677621283253,7.366488620718633
0.13615023474178384,7.370737728650745
0.13693270735524238,7.375011327118409
0.13771517996870092,7.379309416121586
0.13849765258215946,7.383631995660344
0.139280125195618,7.3879790657347275
0.14006259780907654,7.392350626344676
0.14084507042253508,7.396746677490158
0.14162754303599362,7.4011672191712155
0.14241001564945216,7.405612251387882
0.1431924882629107,7.410081774140168
0.14397496087636924,7.414575787428073
0.14475743348982778,7.419094291251557
